from,to,weight
sadness,distraction,3.5833333333333335
sadness,grief,6.666666666666667
sadness,pensiveness,5.571428571428571
sadness,loathing,2.4444444444444446
sadness,boredom,1.6923076923076923
sadness,rage,1.75
sadness,annoyance,2.8
sadness,vigilance,2.3333333333333335
sadness,interest,0.6
sadness,optimism,1.3333333333333333
sadness,hope,1.4285714285714286
sadness,anxiety,4.666666666666667
sadness,love,1.5454545454545454
sadness,guilt,3.0833333333333335
sadness,delight,1.5833333333333333
sadness,submission,2.0
sadness,curiosity,0.5833333333333334
sadness,sentimentality,5.8
sadness,awe,1.9230769230769231
sadness,despair,6.5
sadness,shame,2.7777777777777777
sadness,disappointment,6.3076923076923075
sadness,unbelief,1.9
sadness,outrage,3.5833333333333335
sadness,remorse,3.857142857142857
sadness,envy,2.8
sadness,pessimism,5.777777777777778
sadness,contempt,2.7142857142857144
sadness,cynicism,2.727272727272727
sadness,morbidness,4.0
sadness,aggressiveness,0.2666666666666666
sadness,pride,0.375
sadness,dominance,0.4
disgust,joy,0.625
disgust,trust,0.0
disgust,fear,2.909090909090909
disgust,surprise,1.6666666666666667
disgust,sadness,3.5714285714285716
disgust,anger,4.285714285714286
disgust,anticipation,0.3
disgust,ecstasy,0.6666666666666666
disgust,serenity,0.9
disgust,admiration,0.9
disgust,acceptance,0.5384615384615384
disgust,terror,3.9166666666666665
disgust,apprehension,3.272727272727273
disgust,amazement,2.2222222222222223
disgust,distraction,2.7
disgust,grief,4.142857142857143
disgust,pensiveness,2.076923076923077
disgust,loathing,5.8
disgust,boredom,1.7
disgust,rage,3.2
disgust,annoyance,5.25
disgust,vigilance,3.7777777777777777
disgust,interest,0.8461538461538461
disgust,optimism,0.3333333333333333
disgust,hope,0.9166666666666666
disgust,anxiety,3.6
disgust,love,1.0
disgust,guilt,3.4285714285714284
disgust,delight,0.1818181818181818
disgust,submission,1.5
disgust,curiosity,1.5
disgust,sentimentality,2.4444444444444446
disgust,awe,1.625
disgust,despair,3.9166666666666665
disgust,shame,4.428571428571429
disgust,disappointment,4.285714285714286
disgust,unbelief,5.0
disgust,outrage,4.636363636363637
disgust,remorse,4.636363636363637
disgust,envy,4.583333333333333
disgust,pessimism,3.0
disgust,contempt,5.8
disgust,cynicism,4.0
disgust,morbidness,4.142857142857143
disgust,aggressiveness,1.75
disgust,pride,0.2857142857142857
disgust,dominance,0.75
anger,joy,0.5
anger,trust,0.5714285714285714
anger,fear,3.4285714285714284
anger,surprise,2.0
anger,sadness,3.3333333333333335
anger,disgust,5.0
anger,anticipation,1.181818181818182
anger,ecstasy,1.0
anger,serenity,0.0
anger,admiration,1.4545454545454546
anger,acceptance,0.5833333333333334
anger,terror,3.4444444444444446
anger,apprehension,2.2222222222222223
anger,amazement,2.0
anger,distraction,3.0
anger,grief,3.25
anger,pensiveness,2.4285714285714284
anger,loathing,5.1
anger,boredom,1.0
anger,rage,6.75
anger,annoyance,5.909090909090909
anger,vigilance,1.9090909090909092
anger,interest,1.875
anger,optimism,0.5714285714285714
anger,hope,0.3846153846153846
anger,anxiety,3.25
anger,love,1.4285714285714286
anger,guilt,2.363636363636364
anger,delight,0.2307692307692307
anger,submission,1.6923076923076923
anger,curiosity,1.4285714285714286
anger,sentimentality,1.6363636363636365
anger,awe,1.1666666666666667
anger,despair,3.9166666666666665
anger,shame,3.7142857142857144
anger,disappointment,3.857142857142857
anger,unbelief,3.3
anger,outrage,6.857142857142857
anger,remorse,3.4
anger,envy,3.3333333333333335
anger,pessimism,3.888888888888889
anger,contempt,3.272727272727273
anger,cynicism,2.4444444444444446
anger,morbidness,2.6666666666666665
anger,aggressiveness,1.6
anger,pride,1.1111111111111112
anger,dominance,1.6666666666666667
anticipation,joy,5.375
anticipation,trust,4.916666666666667
anticipation,fear,1.1111111111111112
anticipation,surprise,2.625
anticipation,sadness,0.3333333333333333
anticipation,disgust,0.3333333333333333
anticipation,anger,1.1666666666666667
anticipation,ecstasy,2.6
anticipation,serenity,2.3333333333333335
anticipation,admiration,3.5
anticipation,acceptance,3.0
anticipation,terror,1.1666666666666667
anticipation,apprehension,2.7142857142857144
anticipation,amazement,2.4545454545454546
anticipation,distraction,1.3076923076923077
anticipation,grief,1.4
anticipation,pensiveness,0.9
anticipation,loathing,0.6666666666666666
anticipation,boredom,1.3846153846153846
anticipation,rage,0.8181818181818182
anticipation,annoyance,0.5
anticipation,vigilance,1.1111111111111112
anticipation,interest,5.142857142857143
anticipation,optimism,4.9
anticipation,hope,6.444444444444445
anticipation,anxiety,2.3333333333333335
anticipation,love,3.0833333333333335
anticipation,guilt,0.4285714285714285
anticipation,delight,3.769230769230769
anticipation,submission,1.2222222222222223
anticipation,curiosity,4.666666666666667
anticipation,sentimentality,0.8333333333333334
anticipation,awe,2.1666666666666665
anticipation,despair,0.25
anticipation,shame,0.5555555555555556
anticipation,disappointment,0.375
anticipation,unbelief,0.7142857142857143
anticipation,outrage,0.3333333333333333
anticipation,remorse,0.625
anticipation,envy,1.0
anticipation,pessimism,0.9230769230769232
anticipation,contempt,0.2666666666666666
anticipation,cynicism,1.3333333333333333
anticipation,morbidness,0.125
anticipation,aggressiveness,4.0
anticipation,pride,4.636363636363637
anticipation,dominance,2.6666666666666665
ecstasy,joy,5.090909090909091
ecstasy,trust,1.875
ecstasy,fear,0.7777777777777778
ecstasy,surprise,2.0
ecstasy,sadness,0.9285714285714286
ecstasy,disgust,1.1111111111111112
ecstasy,anger,0.375
ecstasy,anticipation,3.4545454545454546
ecstasy,serenity,0.8888888888888888
ecstasy,admiration,3.2
ecstasy,acceptance,1.4
ecstasy,terror,1.2222222222222223
ecstasy,apprehension,0.6666666666666666
ecstasy,amazement,3.9
ecstasy,distraction,1.0
ecstasy,grief,0.5
ecstasy,pensiveness,1.4444444444444444
ecstasy,loathing,0.3571428571428571
ecstasy,boredom,0.875
ecstasy,rage,0.1666666666666666
ecstasy,annoyance,0.7272727272727273
ecstasy,vigilance,0.4285714285714285
ecstasy,interest,3.4166666666666665
ecstasy,optimism,3.1666666666666665
ecstasy,hope,3.3846153846153846
ecstasy,anxiety,0.4545454545454545
ecstasy,love,4.636363636363637
ecstasy,guilt,0.4444444444444444
ecstasy,delight,4.125
ecstasy,submission,3.4
ecstasy,curiosity,3.363636363636364
ecstasy,sentimentality,2.4444444444444446
ecstasy,awe,3.4615384615384617
ecstasy,despair,0.4285714285714285
ecstasy,shame,1.4285714285714286
ecstasy,disappointment,0.8333333333333334
ecstasy,unbelief,0.3
ecstasy,outrage,0.7142857142857143
ecstasy,remorse,1.0
ecstasy,envy,1.375
ecstasy,pessimism,0.3636363636363636
ecstasy,contempt,1.0
ecstasy,cynicism,0.6666666666666666
ecstasy,morbidness,1.5
ecstasy,aggressiveness,1.8571428571428572
ecstasy,pride,3.2222222222222223
ecstasy,dominance,2.0
serenity,joy,3.125
serenity,trust,4.6923076923076925
serenity,fear,0.4615384615384615
serenity,surprise,0.2727272727272727
serenity,sadness,0.5555555555555556
serenity,disgust,0.4615384615384615
serenity,anger,0.1666666666666666
serenity,anticipation,2.857142857142857
serenity,ecstasy,2.1666666666666665
serenity,admiration,0.7857142857142857
serenity,acceptance,4.375
serenity,terror,0.0
