from,to,weight
surprise,interest,4.7
surprise,optimism,2.4
surprise,hope,3.8
surprise,anxiety,2.909090909090909
surprise,love,2.076923076923077
surprise,guilt,2.25
surprise,delight,4.4
surprise,submission,2.4615384615384617
surprise,curiosity,5.0
surprise,sentimentality,2.1538461538461537
surprise,awe,3.0
surprise,despair,3.090909090909091
surprise,shame,1.3636363636363635
surprise,disappointment,3.0
surprise,unbelief,2.3333333333333335
surprise,outrage,3.2
surprise,remorse,1.2
surprise,envy,1.1
surprise,pessimism,3.25
surprise,contempt,3.0
surprise,cynicism,1.0
surprise,morbidness,1.5384615384615383
surprise,aggressiveness,3.1818181818181817
surprise,pride,1.2222222222222223
surprise,dominance,1.9090909090909092
sadness,joy,2.5625
sadness,trust,2.0
sadness,fear,3.923076923076923
sadness,surprise,2.727272727272727
sadness,disgust,3.3
sadness,anger,4.833333333333333
sadness,anticipation,1.5454545454545454
sadness,ecstasy,1.2142857142857142
sadness,serenity,1.4615384615384617
sadness,admiration,3.1818181818181817
sadness,acceptance,2.6666666666666665
sadness,terror,2.875
sadness,apprehension,4.916666666666667
sadness,amazement,2.642857142857143
sadness,distraction,4.2727272727272725
sadness,grief,6.375
sadness,pensiveness,4.111111111111111
sadness,loathing,3.0
sadness,boredom,2.0
sadness,rage,4.583333333333333
sadness,annoyance,1.5
sadness,vigilance,2.230769230769231
sadness,interest,1.0
sadness,optimism,1.181818181818182
sadness,hope,1.5
sadness,anxiety,4.666666666666667
sadness,love,2.4615384615384617
sadness,guilt,3.125
sadness,delight,1.818181818181818
sadness,submission,3.1
sadness,curiosity,1.2727272727272727
sadness,sentimentality,5.461538461538462
sadness,awe,1.625
sadness,despair,6.375
sadness,shame,3.888888888888889
sadness,disappointment,5.714285714285714
sadness,unbelief,2.7142857142857144
sadness,outrage,2.6666666666666665
sadness,remorse,3.7
sadness,envy,3.0
sadness,pessimism,6.615384615384615
sadness,contempt,2.727272727272727
sadness,cynicism,3.076923076923077
sadness,morbidness,5.153846153846154
sadness,aggressiveness,1.5
sadness,pride,1.1666666666666667
sadness,dominance,1.1538461538461535
disgust,joy,0.9090909090909092
disgust,trust,2.272727272727273
disgust,fear,3.8181818181818183
disgust,surprise,1.3
disgust,sadness,2.9166666666666665
disgust,anger,5.5
disgust,anticipation,1.8461538461538465
disgust,ecstasy,0.9285714285714286
disgust,serenity,0.4
disgust,admiration,1.6666666666666667
disgust,acceptance,1.1428571428571428
disgust,terror,5.2
disgust,apprehension,2.9285714285714284
disgust,amazement,2.3333333333333335
disgust,distraction,3.7
disgust,grief,4.666666666666667
disgust,pensiveness,3.1538461538461537
disgust,loathing,6.0
disgust,boredom,1.9166666666666667
disgust,rage,4.7272727272727275
disgust,annoyance,3.3333333333333335
disgust,vigilance,4.333333333333333
disgust,interest,0.9285714285714286
disgust,optimism,0.3846153846153846
disgust,hope,0.5384615384615384
disgust,anxiety,4.166666666666667
disgust,love,1.4166666666666667
disgust,guilt,3.6666666666666665
disgust,delight,1.3076923076923077
disgust,submission,2.642857142857143
disgust,curiosity,0.5
disgust,sentimentality,1.9090909090909092
disgust,awe,1.0769230769230769
disgust,despair,4.583333333333333
disgust,shame,3.6666666666666665
disgust,disappointment,4.785714285714286
disgust,unbelief,3.727272727272727
disgust,outrage,3.928571428571429
disgust,remorse,3.7777777777777777
disgust,envy,4.416666666666667
disgust,pessimism,4.090909090909091
disgust,contempt,5.6923076923076925
disgust,cynicism,4.4
disgust,morbidness,4.363636363636363
disgust,aggressiveness,1.1428571428571428
disgust,pride,1.5454545454545454
disgust,dominance,0.9
anger,joy,1.0769230769230769
anger,trust,1.2941176470588236
anger,fear,4.6923076923076925
anger,surprise,3.75
anger,sadness,5.090909090909091
anger,disgust,5.357142857142857
anger,anticipation,1.9285714285714288
anger,ecstasy,0.9333333333333332
anger,serenity,0.6363636363636364
anger,admiration,1.2857142857142858
anger,acceptance,1.0
anger,terror,4.625
anger,apprehension,3.1538461538461537
anger,amazement,2.1
anger,distraction,3.9
anger,grief,4.0
anger,pensiveness,2.5833333333333335
anger,loathing,5.769230769230769
anger,boredom,1.0
anger,rage,6.5
anger,annoyance,6.166666666666667
anger,vigilance,3.9166666666666665
anger,interest,2.1666666666666665
anger,optimism,0.5384615384615384
anger,hope,1.8
anger,anxiety,4.7272727272727275
anger,love,2.2857142857142856
anger,guilt,3.2
anger,delight,0.5
anger,submission,1.7692307692307692
anger,curiosity,1.0909090909090908
anger,sentimentality,2.3846153846153846
anger,awe,1.75
anger,despair,5.444444444444445
anger,shame,3.5
anger,disappointment,5.222222222222222
anger,unbelief,3.6666666666666665
anger,outrage,6.181818181818182
anger,remorse,3.0
anger,envy,4.333333333333333
anger,pessimism,3.3
anger,contempt,3.6
anger,cynicism,3.0
anger,morbidness,2.9166666666666665
anger,aggressiveness,2.5
anger,pride,1.5
anger,dominance,1.6666666666666667
anticipation,joy,3.0
anticipation,trust,5.0
anticipation,fear,2.272727272727273
anticipation,surprise,4.545454545454546
anticipation,sadness,1.818181818181818
anticipation,disgust,1.25
anticipation,anger,1.6363636363636365
anticipation,ecstasy,3.230769230769231
anticipation,serenity,2.2142857142857144
anticipation,admiration,3.75
anticipation,acceptance,3.1818181818181817
anticipation,terror,1.5
anticipation,apprehension,2.6666666666666665
anticipation,amazement,2.909090909090909
anticipation,distraction,2.0833333333333335
anticipation,grief,0.875
anticipation,pensiveness,1.7272727272727273
anticipation,loathing,0.8333333333333334
anticipation,boredom,1.1428571428571428
anticipation,rage,1.75
anticipation,annoyance,1.9090909090909092
anticipation,vigilance,2.5454545454545454
anticipation,interest,5.545454545454546
anticipation,optimism,4.266666666666667
anticipation,hope,6.285714285714286
anticipation,anxiety,3.636363636363636
anticipation,love,4.454545454545454
anticipation,guilt,0.6666666666666666
anticipation,delight,4.076923076923077
anticipation,submission,1.8333333333333333
anticipation,curiosity,4.923076923076923
anticipation,sentimentality,1.6923076923076923
anticipation,awe,2.769230769230769
anticipation,despair,1.2727272727272727
anticipation,shame,1.5384615384615383
anticipation,disappointment,2.909090909090909
anticipation,unbelief,1.8461538461538465
anticipation,outrage,1.5454545454545454
anticipation,remorse,1.6363636363636365
anticipation,envy,1.818181818181818
anticipation,pessimism,1.6923076923076923
anticipation,contempt,1.2307692307692308
anticipation,cynicism,0.6153846153846154
anticipation,morbidness,0.5454545454545454
anticipation,aggressiveness,4.9
anticipation,pride,3.647058823529412
anticipation,dominance,3.692307692307693
ecstasy,joy,5.230769230769231
ecstasy,trust,2.25
ecstasy,fear,1.4545454545454546
ecstasy,surprise,2.1538461538461537
ecstasy,sadness,1.9166666666666667
ecstasy,disgust,0.4666666666666667
ecstasy,anger,1.3333333333333333
ecstasy,anticipation,2.3333333333333335
ecstasy,serenity,2.0
ecstasy,admiration,3.5454545454545454
ecstasy,acceptance,1.7857142857142858
ecstasy,terror,1.2727272727272727
ecstasy,apprehension,1.0666666666666669
ecstasy,amazement,1.818181818181818
ecstasy,distraction,1.5
ecstasy,grief,1.6363636363636365
ecstasy,pensiveness,3.111111111111111
ecstasy,loathing,1.0833333333333333
ecstasy,boredom,1.4444444444444444
ecstasy,rage,0.6666666666666666
ecstasy,annoyance,0.9166666666666666
ecstasy,vigilance,0.8333333333333334
ecstasy,interest,3.4545454545454546
ecstasy,optimism,2.4
ecstasy,hope,3.0
ecstasy,anxiety,0.9230769230769232
ecstasy,love,5.111111111111111
ecstasy,guilt,1.4444444444444444
ecstasy,delight,5.2
ecstasy,submission,2.4615384615384617
ecstasy,curiosity,2.923076923076923
ecstasy,sentimentality,1.8666666666666667
ecstasy,awe,1.7333333333333334
ecstasy,despair,0.6
ecstasy,shame,0.9090909090909092
ecstasy,disappointment,1.2307692307692308
ecstasy,unbelief,1.0666666666666669
ecstasy,outrage,1.0
ecstasy,remorse,0.9090909090909092
ecstasy,envy,2.1818181818181817
ecstasy,pessimism,0.8181818181818182
ecstasy,contempt,0.5
ecstasy,cynicism,0.6666666666666666
ecstasy,morbidness,1.1666666666666667
ecstasy,aggressiveness,2.363636363636364
ecstasy,pride,2.8181818181818183
ecstasy,dominance,3.0
serenity,joy,3.8333333333333335
serenity,trust,4.333333333333333
serenity,fear,1.1666666666666667
serenity,surprise,1.0833333333333333
serenity,sadness,1.0
serenity,disgust,0.1818181818181818
serenity,anger,0.5714285714285714
serenity,anticipation,3.4
serenity,ecstasy,2.5294117647058822
serenity,admiration,1.4166666666666667
serenity,acceptance,3.4
serenity,terror,1.5833333333333333
serenity,apprehension,1.1
serenity,amazement,1.6363636363636365
serenity,distraction,1.7
serenity,grief,0.4285714285714285
serenity,pensiveness,1.3846153846153846
serenity,loathing,0.8571428571428571
serenity,boredom,4.090909090909091
serenity,rage,0.1666666666666666
serenity,annoyance,0.7142857142857143
serenity,vigilance,0.6111111111111112
serenity,interest,1.7272727272727273
serenity,optimism,5.333333333333333
serenity,hope,3.6
serenity,anxiety,1.5
serenity,love,4.090909090909091
serenity,guilt,0.2857142857142857
serenity,delight,2.3076923076923075
serenity,submission,0.9166666666666666
serenity,curiosity,1.8125
serenity,sentimentality,2.272727272727273
serenity,awe,1.3333333333333333
serenity,despair,0.9285714285714286
serenity,shame,1.0714285714285714
serenity,disappointment,0.7272727272727273
serenity,unbelief,1.5833333333333333
serenity,outrage,1.2857142857142858
serenity,remorse,1.0
serenity,envy,1.5454545454545454
serenity,pessimism,1.2
serenity,contempt,0.4615384615384615
serenity,cynicism,1.1111111111111112
serenity,morbidness,1.1
serenity,aggressiveness,1.7272727272727273
serenity,pride,2.2222222222222223
serenity,dominance,3.4444444444444446
admiration,joy,4.2
admiration,trust,3.466666666666667
admiration,fear,1.8
admiration,surprise,6.076923076923077
admiration,sadness,2.7142857142857144
admiration,disgust,1.3
admiration,anger,1.8888888888888888
admiration,anticipation,3.6666666666666665
admiration,ecstasy,3.5384615384615383
admiration,serenity,2.0
admiration,acceptance,2.7142857142857144
admiration,terror,1.8666666666666667
admiration,apprehension,1.5714285714285714
admiration,amazement,5.111111111111111
admiration,distraction,3.2
admiration,grief,2.090909090909091
admiration,pensiveness,1.8333333333333333
admiration,loathing,1.4545454545454546
admiration,boredom,1.1538461538461535
admiration,rage,0.8888888888888888
admiration,annoyance,0.6666666666666666
admiration,vigilance,1.8571428571428572
admiration,interest,3.9166666666666665
admiration,optimism,1.8
admiration,hope,3.6
admiration,anxiety,1.9333333333333331
admiration,love,3.1818181818181817
admiration,guilt,0.8181818181818182
admiration,delight,4.454545454545454
admiration,submission,1.0909090909090908
admiration,curiosity,4.3
admiration,sentimentality,2.5833333333333335
admiration,awe,5.5
admiration,despair,1.9
admiration,shame,1.8571428571428572
admiration,disappointment,1.1538461538461535
admiration,unbelief,0.8
admiration,outrage,1.6666666666666667
admiration,remorse,0.7692307692307693
admiration,envy,1.8
admiration,pessimism,2.272727272727273
admiration,contempt,1.1666666666666667
admiration,cynicism,1.4545454545454546
admiration,morbidness,1.3636363636363635
admiration,aggressiveness,2.9166666666666665
admiration,pride,4.583333333333333
admiration,dominance,1.75
acceptance,joy,3.363636363636364
acceptance,trust,5.384615384615385
acceptance,fear,1.8
acceptance,surprise,1.6153846153846154
acceptance,sadness,1.5
acceptance,disgust,1.2857142857142858
acceptance,anger,1.5
acceptance,anticipation,3.5555555555555554
acceptance,ecstasy,1.6666666666666667
acceptance,serenity,3.4444444444444446
acceptance,admiration,2.4
acceptance,terror,1.1538461538461535
acceptance,apprehension,1.5333333333333334
acceptance,amazement,1.1428571428571428
acceptance,distraction,1.6923076923076923
acceptance,grief,1.6428571428571428
acceptance,pensiveness,1.9230769230769231
acceptance,loathing,0.6363636363636364
acceptance,boredom,1.4615384615384617
acceptance,rage,0.8181818181818182
acceptance,annoyance,1.0
acceptance,vigilance,1.2727272727272727
acceptance,interest,2.4705882352941178
acceptance,optimism,3.6666666666666665
acceptance,hope,3.0
acceptance,anxiety,1.8
acceptance,love,4.230769230769231
acceptance,guilt,2.75
acceptance,delight,3.0
acceptance,submission,3.2222222222222223
acceptance,curiosity,1.7
acceptance,sentimentality,1.7692307692307692
acceptance,awe,2.888888888888889
acceptance,despair,1.0
acceptance,shame,1.3636363636363635
acceptance,disappointment,1.2
acceptance,unbelief,1.3636363636363635
acceptance,outrage,1.0714285714285714
acceptance,remorse,2.727272727272727
acceptance,envy,2.2666666666666666
acceptance,pessimism,0.7777777777777778
acceptance,contempt,0.8571428571428571
acceptance,cynicism,1.0
acceptance,morbidness,1.3
acceptance,aggressiveness,2.1
acceptance,pride,2.4615384615384617
acceptance,dominance,2.4545454545454546
terror,joy,1.4
terror,trust,1.0
terror,fear,7.0
terror,surprise,3.75
terror,sadness,4.466666666666667
terror,disgust,5.5
terror,anger,3.272727272727273
terror,anticipation,0.6153846153846154
terror,ecstasy,0.4166666666666667
terror,serenity,0.7142857142857143
terror,admiration,2.3333333333333335
terror,acceptance,1.3
terror,apprehension,5.428571428571429
terror,amazement,2.0
terror,distraction,5.5
terror,grief,4.571428571428571
terror,pensiveness,3.1818181818181817
terror,loathing,3.8461538461538463
terror,boredom,1.1538461538461535
terror,rage,3.5
terror,annoyance,4.416666666666667
terror,vigilance,5.714285714285714
terror,interest,2.0
terror,optimism,1.0
terror,hope,0.5714285714285714
terror,anxiety,5.916666666666667
terror,love,0.8461538461538461
terror,guilt,3.076923076923077
terror,delight,0.1666666666666666
terror,submission,4.25
terror,curiosity,2.0
terror,sentimentality,3.5454545454545454
terror,awe,4.0
terror,despair,5.333333333333333
terror,shame,2.8461538461538463
terror,disappointment,3.8181818181818183
terror,unbelief,4.0
terror,outrage,2.625
terror,remorse,3.0
terror,envy,1.9090909090909092
terror,pessimism,3.933333333333333
terror,contempt,2.4444444444444446
terror,cynicism,1.25
terror,morbidness,3.692307692307693
terror,aggressiveness,1.3333333333333333
terror,pride,0.6666666666666666
terror,dominance,1.1666666666666667
apprehension,joy,2.5
apprehension,trust,2.090909090909091
apprehension,fear,5.0
apprehension,surprise,3.5
apprehension,sadness,4.4
apprehension,disgust,3.1666666666666665
apprehension,anger,2.8
apprehension,anticipation,3.0
apprehension,ecstasy,0.75
apprehension,serenity,1.0
apprehension,admiration,1.6428571428571428
apprehension,acceptance,0.5833333333333334
apprehension,terror,5.538461538461538
apprehension,amazement,2.0
apprehension,distraction,5.538461538461538
apprehension,grief,5.6
apprehension,pensiveness,5.111111111111111
apprehension,loathing,2.75
apprehension,boredom,1.8333333333333333
apprehension,rage,2.5454545454545454
apprehension,annoyance,4.333333333333333
apprehension,vigilance,5.1
apprehension,interest,3.230769230769231
apprehension,optimism,1.3846153846153846
apprehension,hope,1.2
apprehension,anxiety,6.090909090909091
apprehension,love,4.111111111111111
apprehension,guilt,2.6
apprehension,delight,0.5384615384615384
apprehension,submission,2.3076923076923075
apprehension,curiosity,1.3571428571428572
apprehension,sentimentality,4.285714285714286
apprehension,awe,2.0
apprehension,despair,4.0
apprehension,shame,2.230769230769231
apprehension,disappointment,3.1818181818181817
apprehension,unbelief,5.363636363636363
apprehension,outrage,3.0
apprehension,remorse,5.0
apprehension,envy,2.75
apprehension,pessimism,4.583333333333333
apprehension,contempt,1.4545454545454546
apprehension,cynicism,2.636363636363636
apprehension,morbidness,4.571428571428571
apprehension,aggressiveness,1.4444444444444444
apprehension,pride,1.3333333333333333
apprehension,dominance,1.1666666666666667
amazement,joy,3.8333333333333335
amazement,trust,1.5833333333333333
amazement,fear,3.2857142857142856
amazement,surprise,6.285714285714286
amazement,sadness,2.6153846153846154
